Date,Index
2014-03-06,2830.0
2014-03-05,2596.0
2014-03-04,2326.0
2014-03-03,2180.0
2014-02-28,2084.0
2014-02-27,2049.0
2014-02-26,1912.0
2014-02-25,1775.0
2014-02-24,1707.0
2014-02-21,1701.0
2014-02-20,1680.0
2014-02-19,1690.0
2014-02-18,1667.0
2014-02-17,1625.0
2014-02-14,1554.0
2014-02-13,1557.0
2014-02-12,1584.0
2014-02-11,1581.0
2014-02-10,1611.0
2014-02-07,1588.0
2014-02-06,1575.0
2014-02-05,1544.0
2014-02-04,1513.0
2014-02-03,1516.0
2014-01-31,1524.0
2014-01-30,1527.0
2014-01-29,1531.0
2014-01-28,1577.0
2014-01-27,1673.0
2014-01-24,1723.0
2014-01-23,1775.0
2014-01-22,1880.0
2014-01-21,1973.0
2014-01-20,2082.0
2014-01-17,2026.0
2014-01-16,1929.0
2014-01-15,1862.0
2014-01-14,1832.0
2014-01-13,1857.0
2014-01-10,2101.0
2014-01-09,2500.0
2014-01-08,2818.0
2014-01-07,3017.0
2014-01-06,3287.0
2014-01-03,3531.0
2014-01-02,3733.0
2013-12-24,4078.0
2013-12-23,3996.0
2013-12-20,3875.0
2013-12-19,3596.0
2013-12-18,3638.0
2013-12-17,3818.0
2013-12-16,4065.0
2013-12-13,4246.0
2013-12-12,4291.0
2013-12-11,4210.0
2013-12-10,4011.0
2013-12-09,3831.0
2013-12-06,3842.0
2013-12-05,3843.0
2013-12-04,3481.0
2013-12-03,3316.0
2013-12-02,3194.0
2013-11-30,3089.0
2013-11-29,3089.0
2013-11-28,2848.0
2013-11-27,2496.0
2013-11-26,2399.0
2013-11-25,2391.0
2013-11-22,2390.0
2013-11-21,2447.0
2013-11-20,2511.0
2013-11-19,2366.0
2013-11-18,2366.0
2013-11-15,2377.0
2013-11-14,2397.0
2013-11-13,2455.0
2013-11-12,2473.0
2013-11-11,2506.0
2013-11-08,2514.0
2013-11-07,2533.0
2013-11-06,2554.0
2013-11-05,2553.0
2013-11-04,2400.0
2013-11-01,2316.0
2013-10-31,2245.0
2013-10-30,2164.0
2013-10-29,2340.0
2013-10-28,2526.0
2013-10-25,2681.0
2013-10-24,2775.0
2013-10-23,2943.0
2013-10-22,3110.0
2013-10-21,3200.0
2013-10-18,3264.0
2013-10-17,3451.0
2013-10-16,3478.0
2013-10-15,3469.0
2013-10-14,3455.0
2013-10-11,3527.0
2013-10-10,3621.0
2013-10-09,3959.0
2013-10-08,4085.0
2013-10-07,4020.0
2013-10-04,3943.0
2013-10-03,3878.0
2013-10-02,3810.0
2013-10-01,3816.0
2013-09-30,3853.0
2013-09-27,3967.0
2013-09-26,4193.0
2013-09-25,4329.0
